[32mFull scans	pages shared	pages sharing	pages unshared	pages volatile	general profit[0m
0		0		0		0		0		0
36		28		5411		1902		1		21693568
97		4854		22144		48151		91425		80041088
101		6270		55698		135598		61936		211530880
104		6455		51883		141185		79004		194749568
107		7192		48223		151611		71329		179803264
110		10968		55790		209251		2439		210695296
113		11047		55204		199958		12237		208295040
116		11534		55275		205936		5701		208585856
119		11225		52702		192580		21945		198018176
122		11207		54887		203803		9238		204919936
125		9276		111373		152120		5651		438535296
128		9319		114558		151089		3475		451409024
131		9367		114665		152872		1542		451847296
135		9417		114785		152914		1330		452338816
138		9493		114777		152863		1313		452306048
141		9535		114846		151009		3056		452588672
144		9272		114426		124725		30023		450868352
148		9076		113792		146963		8615		448271488
151		9163		113847		152124		3308		448496768
154		9160		113856		154191		1238		448533632
158		9123		113866		154993		467		448574592
161		9123		113865		155259		199		448570496
164		9124		113861		154952		509		448554112
167		9124		113855		154096		1371		448529536
171		9126		113858		155238		224		448541824
174		9121		113871		155040		414		448595072
177		9121		113867		155270		188		448578688
180		9120		113883		154655		788		448644224
184		9121		113882		154936		507		448640128
187		9121		113882		155074		369		448640128
190		9171		113778		155350		147		448214144
194		9171		113778		155288		209		448214144
197		9169		113728		154937		613		448009344
200		9220		113771		155144		311		448185472
203		9222		113772		155306		146		448189568
207		9223		113771		155270		182		448185472
210		9239		119846		157085		8834		472008960
212		10028		129700		192051		114265		502704384
214		17435		168936		276545		89751		655923456
216		23860		174005		239280		118979		677128448
217		28304		173916		273449		80456		676768000
219		45246		198503		303694		9439		777435392
220		45807		198258		291982		20845		776423680
222		46129		198824		301003		10936		778742016
223		46815		199529		304823		5725		781629696
225		45956		199668		279274		31994		782199040
226		49861		204992		294810		7229		804006144
228		54650		209965		287508		4755		824375552
230		54773		210249		290377		1493		825538816
231		54750		210258		288094		3790		825575680
233		54705		210312		289635		2240		825796864
234		54727		210162		286960		5044		825182464
236		54240		205880		261533		35242		807643392
238		62765		215296		265916		12913		846211328
239		66509		219324		268769		2290		862710016
241		66642		219484		268088		2678		863365376
242		66621		217296		262526		10447		854403328
244		67255		218893		268833		1911		860944640
246		67211		218145		268669		2869		857880832
247		67193		218509		266361		4829		859371776
249		67323		218788		269736		1045		860514560
250		67324		218784		269790		994		860498176
252		67299		217537		267413		4644		855390464
254		67563		216215		269694		3420		849975552
255		67608		216251		272037		996		850123008
257		67592		216243		268021		5035		850090240
258		67649		216137		271499		1606		849656064
260		67735		216271		272297		588		850204928
262		63439		200736		214979		77741		786585856
263		63912		265682		222628		4670		1052592384
265		63958		265957		225350		1627		1053718784
266		63929		265321		223944		3698		1051113728
268		63889		265801		225412		1791		1053079808
270		63872		266112		225552		1357		1054353664
271		63336		265510		223530		4516		1051887872
273		63640		266665		224958		1629		1056618752
275		63627		266750		225312		1203		1056966912
276		63538		266124		221930		5296		1054402816
278		63681		266603		224575		2033		1056364800
280		63702		266665		225143		1383		1056618752
281		63705		266668		226032		488		1056631040
283		63703		266667		225994		528		1056626944
285		63703		266664		226045		480		1056614656
286		63704		266670		225974		544		1056639232
288		63702		266668		225749		772		1056631040
290		63723		266697		225680		791		1056749824
291		63727		266698		225955		513		1056753920
293		63734		266697		225831		630		1056749824
